"Record ID","[Clients] Record ID","License ID","License Number","Expiration Date","License Type","Type and Number","BusinessAddressLookup","Business Name","Hide Potential Cannabinoids On Reports","BusinessNameLookup","Last User","Created By User","Updated","Created"
"Northern Lights Naturals LLC - Grower - 403R-00052","Northern Lights Naturals LLC","Northern Lights Naturals LLC - Grower - 403R-00052","403R-00052",8/31/2015,"Grower","Grower: 403R-00052","835 East 50th Avenue","Northern Lights Naturals LLC",,"Northern Lights Naturals LLC","Stephen Goldman<sgoldman@phytatech.com>","Stephen Goldman<sgoldman@phytatech.com>",8/15/15 11:33 AM,8/15/15 11:33 AM
"Urban Health & Wellness INC (Native Roots) - Retailer - 402R-00458","Urban Health & Wellness INC (Native Roots)","Urban Health & Wellness INC (Native Roots) - Retailer - 402R-00458","402R-00458",8/31/2015,"Retailer","Retailer: 402R-00458","2675 West 38th Avenue","Urban Health & Wellness INC (Native Roots)","True","Urban Health & Wellness INC (Native Roots)","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",8/14/15 2:33 PM,8/14/15 2:33 PM
"WDG INC - Grower - 403R-00106","WDG INC","WDG INC - Grower - 403R-00106","403R-00106",4/28/2016,"Grower","Grower: 403R-00106","3880 Holly Street","WDG INC","True","WDG INC","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",8/14/15 1:13 PM,8/14/15 1:13 PM
"Yeti Farms - MIPS - 404-00385","Yeti Farms","Yeti Farms - MIPS - 404-00385","404-00385",8/31/2015,"MIPS","MIPS: 404-00385","24 Electronic Drive","Yeti Farms","True","Yeti Farms","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",8/13/15 9:36 AM,8/12/15 2:04 PM
"Cannabis Care Wellness Center LLC - Retailer - 402R-00169","Cannabis Care Wellness Center LLC","Cannabis Care Wellness Center LLC - Retailer - 402R-00169","402R-00169",8/31/2015,"Retailer","Retailer: 402R-00169","2515 7th Avenue","Cannabis Care Wellness Center LLC","True","Cannabis Care Wellness Center LLC","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",8/7/15 1:04 PM,8/7/15 1:03 PM
"EBBU LLC - MIPS - 404-00440","EBBU LLC","EBBU LLC - MIPS - 404-00440","404-00440",8/31/2015,"MIPS","MIPS: 404-00440","35715 US Highway 40 D101-103","EBBU LLC",,"EBBU LLC","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",8/5/15 3:59 PM,8/5/15 3:59 PM
"Colorado Cannabis Company LLC - MIPS - 404R-00046","Colorado Cannabis Company LLC","Colorado Cannabis Company LLC - MIPS - 404R-00046","404R-00046",8/31/2015,"MIPS","MIPS: 404R-00046","1133 Bannock St","Colorado Cannabis Company LLC",,"Colorado Cannabis Company LLC","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",8/4/15 11:21 AM,8/4/15 11:21 AM
"Grow Life LLC - Retailer - 402-00140","Grow Life LLC","Grow Life LLC - Retailer - 402-00140","402-00140",7/31/2015,"Retailer","Retailer: 402-00140","1516 Dusty Drive","Grow Life LLC",,"Grow Life LLC","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",7/28/15 1:56 PM,7/28/15 1:56 PM
"EBBU LLC - MIPS - 404R-00119","EBBU LLC","EBBU LLC - MIPS - 404R-00119","404R-00119",7/31/2015,"MIPS","MIPS: 404R-00119","35715 US Highway 40 D101-103","EBBU LLC",,"EBBU LLC","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",7/24/15 1:11 PM,7/24/15 1:11 PM
"Mile High Remedies LLC - Retailer - 402-00645","Mile High Remedies LLC","Mile High Remedies LLC - Retailer - 402-00645","402-00645",7/31/2015,"Retailer","Retailer: 402-00645","2106 East Boulder St","Mile High Remedies LLC",,"Mile High Remedies LLC","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",7/24/15 8:42 AM,7/24/15 8:42 AM
"Mile High Wellness - Grower - 403R-00548","Mile High Wellness","Mile High Wellness - Grower - 403R-00548","403R-00548",12/31/2015,"Grower","Grower: 403R-00548","2291 South Kalamath Street","Mile High Wellness","True","Mile High Wellness","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/20/15 10:32 AM,7/20/15 8:02 AM
