"License Number","Potency","Homogeneity","Residual Solvents","Potency/Terpenes","Terpenes","Microbial ","Heavy Metals","Pesticides"
"403R-00229","33","99",33,49,35,95,70,90
"403R-00221","42","126",40,58,35,95,70,90
"402R-00169","42","126",40,58,35,95,70,90
"404R-00071","38","114",38,78,35,95,70,90
"404-00345","46","138",44,62,40,95,70,90
"404R-00046","44","132",42,60,35,95,70,90
"403R-00085","37","111",37,53,35,95,70,90
"403R-00086","37","111",37,53,35,95,70,90
"404R-00013","37","111",37,53,35,95,70,90
"404-00172","33","99",33,49,35,95,70,90
"404R-00006","33","99",33,49,35,95,70,90
"403R-00132","46","138",44,62,35,95,70,90
"404-00440","44","132",42,58,35,95,70,90
"404R-00119","44","132",42,58,35,95,50,90
"403R-00140","44","132",42,60,35,95,70,90
"403-01217","46","138",44,62,35,95,70,90
"403R-00249","46","138",44,62,35,95,70,90
"404-00373","46","138",44,62,35,95,70,90
"402-00738","42","126",40,58,35,95,70,90
"402-00140","46","138",44,62,35,95,70,90
"403R-00314","46","138",44,62,35,95,70,90
"404-00348","40","120",38,56,35,95,70,90
"404R-00077","40","120",38,56,35,95,70,90
"403R-00021","42","126",40,54,35,95,70,90
"404-00329","42","126",40,54,35,95,70,90
"404R-00003","42","126",40,54,35,95,70,90
"404R-00114","46","138",44,62,35,95,70,90
"403R-00312","46","138",44,62,35,95,70,90
"403R-00087","37","111",37,53,35,95,70,90
"404-00036","44","132",42,60,35,95,70,90
"404R-00010","44","132",42,60,35,95,70,90
"404R-00023","40","120",40,56,35,95,70,90
"404R-00054","46","138",44,62,35,95,70,90
"403R-00053","42","126",40,58,35,95,70,90
"403R-00056","42","126",40,58,35,95,70,90
"402-00645","46","138",44,62,35,95,70,90
"403R-00548","40","120",40,56,35,95,70,90
"404R-00099","46","138",44,62,35,95,70,90
"404R-00009","40","120",38,56,35,95,70,90
"403-00390","46","138",44,62,35,95,70,90
"403R-00052","46","138",44,62,35,95,70,90
"403R-00291","42","126",40,58,35,95,70,90
"404-00333","42","126",40,58,35,95,70,90
"404R-00061","42","126",40,58,35,95,70,90
"402-00083","38","114",38,54,35,95,70,90
"404R-00024","46","138",44,62,35,95,70,90
"402R-00335","33","99",33,49,35,95,70,90
"404-00048","44","132",42,60,35,95,70,90
"404R-00066","44","132",42,60,35,95,70,90
"402R-11344","42","126",40,58,35,95,70,90
"403R-00479","33","99",33,49,35,95,70,90
"403-00179","42","126",40,54,35,95,70,90
"403R-00017","42","126",40,54,35,95,70,90
"403R-00018","42","126",40,54,35,95,70,90
"403R-00019","42","126",40,54,35,95,70,90
"404R-00038","46","138",44,62,35,95,70,90
"404-00356","46","138",44,62,35,95,70,90
"404R-00015","46","138",44,62,35,95,70,90
"404R-00069","44","132",44,60,35,95,70,90
"402R-00458","33","99",33,49,35,95,70,90
"403R-00131","46","138",44,62,35,95,70,90
"403R-00106","46","138",44,62,35,95,70,90
"404-00422","46","138",44,62,35,95,70,90
"404R-00100","46","138",44,62,35,95,70,90
"404-00385","46","138",44,62,35,95,70,90
