"Record ID","Business Name","Email Address","Business Address 1","Business Address 2","Business City","Business State","Business ZIP","Telephone #","License","Client ID","Last User","Created By User","Updated","Created"
"Northern Lights Naturals LLC","Northern Lights Naturals LLC","evaw@nlcannabis.com","835 East 50th Avenue","Suite A-B","Denver","CO","80216","3032746495","Grower: 403R-00052, ","CannaLIMSNorthern Lights Naturals LLCClientID","Stephen Goldman<sgoldman@phytatech.com>","Stephen Goldman<sgoldman@phytatech.com>",8/15/15 11:32 AM,8/15/15 11:32 AM
"Urban Health & Wellness INC (Native Roots)","Urban Health & Wellness INC (Native Roots)",,"2675 West 38th Avenue",,"Denver","CO","7203899179",,"Retailer: 402R-00458, ","CannaLIMSUrban Health & Wellness INC (Native Roots)ClientID","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",8/14/15 2:32 PM,8/14/15 2:32 PM
"WDG INC","WDG INC","jennifer.kealy@beMINDFUL.today","3880 Holly Street",,"Denver","CO","80207","9787713631","Grower: 403R-00106, ","CannaLIMSWDG INCClientID","Stephen Goldman<sgoldman@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",8/14/15 4:27 PM,8/14/15 1:12 PM
"Yeti Farms","Yeti Farms","cpeyton@delta9global.com","24 Electronic Drive","Suite B","Pueblo West","CO","81007","9703198404","MIPS: 404-00385, ","CannaLIMSYeti FarmsClientID","Stephen Goldman<sgoldman@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",8/14/15 4:28 PM,8/12/15 2:03 PM
"Colorado Cannabis Company LLC","Colorado Cannabis Company LLC",,"1133 Bannock St",,"Denver","CO","80204",,"MIPS: 404R-00046, ","CannaLIMSColorado Cannabis Company LLCClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",8/4/15 11:21 AM,8/4/15 11:21 AM
"Grow Life LLC","Grow Life LLC","growlife@rocketmail.com","1516 Dusty Drive",,"Colorado Springs","CO","80905",,"Retailer: 402-00140, ","CannaLIMSGrow Life LLCClientID","Stephen Goldman<sgoldman@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/28/15 2:34 PM,7/28/15 1:55 PM
"EBBU LLC","EBBU LLC","david@ebbu.com","35715 US Highway 40 D101-103",,"Evergreen","CO","80439",,"MIPS: 404R-00119, MIPS: 404-00440, ","CannaLIMSEBBU LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",7/24/15 1:17 PM,7/24/15 1:11 PM
"Mile High Remedies LLC","Mile High Remedies LLC","darcyhansen@outlook.com","2106 East Boulder St",,"Colorado Springs","CO","80909",,"Retailer: 402-00645, ","CannaLIMSMile High Remedies LLCClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",7/24/15 8:42 AM,7/24/15 8:38 AM
"Mile High Wellness","Mile High Wellness","milehighwellnessllc@gmail.com","2291 South Kalamath Street",,"Denver","CO","80223",,"Grower: 403R-00548, ","CannaLIMSMile High WellnessClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",7/20/15 8:01 AM,7/20/15 8:01 AM
"Boulder RX LLC","Boulder RX LLC",,"1880 South Flatiron Court","Unit E","Boulder","CO","80301",,"Grower: 403R-00229, ","CannaLIMSBoulder RX LLCClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",7/7/15 4:22 PM,7/7/15 4:22 PM
"Metropolis Medical LLC","Metropolis Medical LLC","Shawn@mytrucannabis.com","4600 Ironton Street",,"Denver","CO","80239",,"Grower: 403R-00053, ","CannaLIMSMetropolis Medical LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",6/16/15 2:00 PM,6/16/15 2:00 PM
"Mile High Medical Cannabis","Mile High Medical Cannabis","shawn@mytrucannabis.com","4600 Ironton Street",,"Denver","CO","80239",,"Grower: 403R-00056, ","CannaLIMSMile High Medical CannabisClientID","Jessica Reedy<jreedy@phytatech.com>","Jessica Reedy<jreedy@phytatech.com>",6/16/15 1:01 PM,6/16/15 1:01 PM
"Cannabis Care Wellness Center LLC","Cannabis Care Wellness Center LLC","<jeremymgoldstein@gmail.com>,<slewchuk.sl@gmail.com>,grow@smokeys420.com","2515 7th Avenue",,"Garden City","CO","80631",,"Grower: 403R-00221, Retailer: 402R-00169, ","CannaLIMSCannabis Care Wellness Center LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:51 PM,6/14/15 11:06 AM
"Natures Herbs and Wellness Center","Natures Herbs and Wellness Center","kitchennhw@gmail.com","522 27th Street",,"Garden City","CO","80631",,"MIPS: 404R-00009, ","CannaLIMSNatures Herbs and Wellness CenterClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:50 PM,6/9/15 1:45 PM
"Mahatma Ganga LLC","Mahatma Ganga LLC","shawnabepositive@gmail.com","1045 West 45th Avenue",,"Denver","CO","80211",,"MIPS: 404R-00023, ","CannaLIMSMahatma Ganga LLCClientID","Stephen Goldman<sgoldman@phytatech.com>","Stephen Goldman<sgoldman@phytatech.com>",6/8/15 8:59 PM,6/8/15 8:59 PM
"11","11","1","1","1","1",,"1","1",", ","CannaLIMS11ClientID","Mike Swisher<mike@cannasys.com>","Mike Swisher<mike@cannasys.com>",6/8/15 4:11 PM,6/8/15 4:11 PM
"The Clone Store","The Clone Store","tcsclones@gmail.com","755 Federal Blvd.","Unit 5","Denver","CO","80219",,"Retailer: 402R-11344, ","CannaLIMSThe Clone StoreClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:50 PM,6/8/15 9:23 AM
"The Dandelion (Native Roots)","The Dandelion (Native Roots)","<rhandi@nativeroots303.com> ,alane0807@gmail.com,  chance@nativeroots303.com,  tim.mcdowell@nativeroots303.com","6880 Winchester Circle","Suite C","Boulder","CO","80301",,"Grower: 403R-00479, ","CannaLIMSThe Dandelion (Native Roots)ClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:50 PM,6/8/15 9:17 AM
"Good Meds (Rocky Mountain Ways)","Good Meds (Rocky Mountain Ways)","patrick@goodmedsnetwork.com","8420 West Colfax Ave",,"Denver","CO","80204",,"Retailer: 402-00738, ","CannaLIMSGood Meds (Rocky Mountain Ways)ClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",6/3/15 9:04 AM,6/2/15 4:39 PM
"F-Squared Industries LLC","F-Squared Industries LLC","Levifox007@gmail.com","788 Vallejo Street",,"Denver","CO","80204",,"Grower: 403R-00140, ","CannaLIMSF-Squared Industries LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:49 PM,6/2/15 3:41 PM
"XG Platinum Corp.  MIP-404R-00100","XG Platinum Corp.  MIP-404R-00100","ericapilch@yahoo.com","2506 6th Ave.",,"Garden City","CO","80631",,"MIPS: 404R-00100, MIPS: 404-00422, ","CannaLIMSXG Platinum Corp.  MIP-404R-00100ClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",6/2/15 2:56 PM,6/2/15 2:54 PM
"Mountain High Products LLC (Colorado Concentrates)","Mountain High Products LLC (Colorado Concentrates)","laura@mountainhighedibles.com","7161 Valtec Court","Unit D & E","Boulder","CO","80301",,"MIPS: 404R-00099, ","CannaLIMSMountain High Products LLC (Colorado Concentrates)ClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:49 PM,6/2/15 1:42 PM
"Mary's Medicinals (MHD)","Mary's Medicinals (MHD)","<baker@marysmedicinals.com>, <lynn@marysmedicinals.com>,nicole@marysmedicinals.com,,noel@marysmedicinals.com","4985 Ironton Street",,"Denver","CO","80239",,"MIPS: 404R-00054, ","CannaLIMSMary's Medicinals (MHD)ClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:48 PM,6/1/15 4:58 PM
"Compassionate Care Givers INC","Compassionate Care Givers INC","<mgroble@WEISSERCOMPANIES.COM>, <gaverill@WEISSERCOMPANIES.COM>,fbianco@weissercompanies.com, <kristopher.kiely.rmh@gmail.com>,  Cbyrd@weissercompanies.com","4228 York Street","Unit 104","Denver","CO","80216",,"Grower: 403R-00085, MIPS: 404R-00013, Grower: 403R-00086, ","CannaLIMSCompassionate Care Givers INCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:47 PM,6/1/15 3:35 PM
"TR Scientific LLC","TR Scientific LLC","Dallas.mitchell@trconcentrates.com","3880 Holly St",,"Denver","CO","80220",,"MIPS: 404R-00015, MIPS: 404-00356, ","CannaLIMSTR Scientific LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:46 PM,5/28/15 2:33 PM
"The Greenest Green LLC","The Greenest Green LLC",,"1900 55th Street","Bldg. B Suite 105C","Boulder","CO","80301",,"MIPS: 404R-00038, ","CannaLIMSThe Greenest Green LLCClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/28/15 1:28 PM,5/28/15 1:28 PM
