"Record ID","Batch ID","BusinessNameLookup","Cannabinoids Customer View","Data Input Into METRC","Date Accepted","Date Destroyed","Dry Mass","Hide Potential Cannabinoids On Reports","License Number","Manifest ID","METRC Number","Notes","Package Amount","Product Name","Product Type","Report Approval","Report Generation","ResidualSolvents Customer View","Rush Order","Sample ID","none","Sample Mass","Sub Sample Mass Cannabinoids","Sub Sample Mass Residual Solvents","Sub Sample Mass Terpenes","Storage Location","Terpenes Customer View","Test Completion","Tests To Perform","Unused Product Mass","Weighboat","Wet Mass","Created By User","Created"
"206429","SYR","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","SYR-3","Heavy Metals",,"Syringe","Liquid Edible",,,,,"206429",,,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:50 PM"
"206428","SYR","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","SYR-2","Heavy Metals",,"Syringe","Liquid Edible",,,,,"206428",,,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:49 PM"
"206427","SYR","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","SYR-1","Heavy Metals",,"Syringe","Liquid Edible",,,,,"206427",,,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:48 PM"
"206426","Aug C","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug C-3","Heavy Metals",,"Aug C-3","Concentrate",,,,,"206426",,0.6,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:43 PM"
"206425","Aug C","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug C-2","Heavy Metals",,"Aug C-2","Concentrate",,,,,"206425",,0.6,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:42 PM"
"206424","Aug C","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug C-1","Heavy Metals",,"Aug C-1","Concentrate",,,,,"206424",,0.6,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:42 PM"
"206423","Aug B","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug B-3","Heavy Metals",,"Aug B-3","Concentrate",,,,,"206423",,1,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:40 PM"
"206422","Aug B","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug B-2","Heavy Metals",,"Aug B-2","Concentrate",,,,,"206422",,1,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:39 PM"
"206421","Aug B","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug B-1","Heavy Metals",,"Aug B-1","Concentrate",,,,,"206421",,1,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:38 PM"
"206420","Aug A","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug A-3","Heavy Metals",,"Aug A-3","Concentrate",,,,,"206420",,0.6,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:37 PM"
"206419","Aug A","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug A-2","Heavy Metals",,"Aug A-2","Concentrate",,,,,"206419",,0.6,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:36 PM"
"206418","Aug A","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","Aug A-1","Heavy Metals",,"Aug A-1","Concentrate",,,,,"206418",,0.6,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:35 PM"
"206417","INT-00051","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","INT-00051","Heavy Metals",,"Hemp Sample","Concentrate",,,,,"206417",,1,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:33 PM"
"206416","INT-00050","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","INT-00050","Heavy Metals",,"Hemp Sample","Concentrate",,,,,"206416",,1,,,,,,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:32 PM"
"206415","INT-00054","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","INT-00054",,,"Hemp Sample","Concentrate",,,,,"206415",,1,,,,"S4-I17",,,,,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:31 PM"
"206414","A00086","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","A00086","Heavy Metals",30,"Hemp Sample","Liquid Edible",,,,,"206414",,1,,,,"S4-I17",,,,1,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:29 PM"
"206413","A00083","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","A00083","Heavy Metals",30,"Hemp Sample","Liquid Edible",,,,,"206413",,1,,,,"S4-I17",,,,1,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:28 PM"
"206412","A00088","CW Botanicals",,,"8/26/2015",,,,"000-00000","123456","A00088","Heavy Metals",30,"Hemp Sample","Liquid Edible",,,,,"206412",,1,,,,"S4-I17",,,,1,,,"Jessica Reedy<jreedy@phytatech.com>","8/26/15 4:25 PM"
"206411","DANR.08.27.LJ.1","Conscious Confections (Native Roots)",,,"8/26/2015",,,"True","404R-00006","479645","1A4000312687486000002781",,,"Lifesaver Jones","Concentrate",,,,,"206411",,0.5,,,,"S6",,,"Residual Solvents",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:59 PM"
"206410","DANR.08.27.LJ.1","Conscious Confections (Native Roots)",,,"8/26/2015",,,"True","404R-00006","479645","1A4000312687486000002780",,,"Lifesaver Jones","Concentrate",,,,,"206410",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:57 PM"
"206409",,"Conscious Confections (Native Roots)",,,"8/26/2015",,,"True","404R-00006","479645","1A4000312687486000002565",,,"Lemon Kush Sap","Concentrate",,,,,"206409",,1,,,,"S6",,,"Residual Solvents",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:55 PM"
"206408",,"Conscious Confections (Native Roots)",,,"8/26/2015",,,"True","404R-00006","479645","1A4000312687486000002566",,,"Lemon Kush Sap","Concentrate",,,,,"206408",,1,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:54 PM"
"206407","DANR.08.22.DMOG.1","Conscious Confections (Native Roots)",,,"8/26/2015",,,"True","404R-00006","479645","1A4000312687486000002561",,,"Deadman OG","Concentrate",,,,,"206407",,0.5,,,,"S6",,,"Residual Solvents",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:52 PM"
"206406","DANR.08.22.DMOG.1","Conscious Confections (Native Roots)",,,"8/26/2015",,,"True","404R-00006","479645","1A4000312687486000002562",,,"Deadman OG","Concentrate",,,,,"206406",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:50 PM"
